"locale","en_US","it_IT","ru_RU","pt_BR","zh_CN","pl_PL","fr_FR","es_ES","en_GB","de_DE"
"Repairing of some critical component has failed.","Repairing of some critical component has failed.","La riparazione di un componente critico non è riuscita","Не удалось восстановить какой-то важный компонент.","O reparo de um componente crítico falhou.","某些关键组件的修复失败","Naprawa niektórych krytycznych komponentów nie powiodła się.","La réparation d'un composant critique a échoué.","Falló la reparación de algún componente crítico.","Repairing of some critical component has failed.","Die Reparatur einer kritischen Komponente ist fehlgeschlagen."
"A fatal error occurred:","A fatal error occurred:","Si è verificato un errore fatale:","Произошла фатальная ошибка:","Um erro fatal ocorreu:","发生致命错误","Wystąpił błąd krytyczny:","Une erreur fatale s'est produite :","Se ha producido un error fatal:","A fatal error occurred:","Ein schwerwiegender Fehler ist aufgetreten:"
"New game found","New game found","Nuova partita trovata","Найдена новая игра","Nova partida encontrada","发现新游戏","Znaleziono nową grę","Nouvelle partie trouvée","Nueva partida encontrada","New game found","Neues Spiel gefunden"
"No games","No games","Nessuna partita","Нет игр","Nenhuma partida","没有游戏","Brak gier","Aucune partie","Sin partidas","No games","Keine Spiele"
"No games on local network","No games on local network","Nessuna partita sulla rete locale","Нет игр в локальной сети","Nenhuma partida na rede local","本地网络上没有游戏","Brak gier w sieci lokalnej","Aucune partie sur le réseau local","Sin partidas en la red local","No games on local network","Keine Spiele im lokalen Netzwerk"
"Wait longer or host your own","Wait longer or host your own","Aspetta più a lungo o crea tu una partita","Подождите дольше или создайте свою","Aguarde ou crie sua própria","请稍等或自行主持游戏","Poczekaj dłużej lub utwórz własną","Attendez plus longtemps ou hébergez la vôtre","Espere más tiempo o aloje la suya propia","Wait longer or host your own","Warten Sie länger oder hosten Sie Ihr eigenes Spiel"
"Connecting to host...","Connecting to host...","Connessione all'host…","Подключение к хосту...","Conectando-se ao host…","正在连接主机...","Łączenie z hostem...","Connexion à l'hôte...","Conectando al anfitrión...","Connecting to host...","Verbindung zum Host wird hergestellt..."
"Joining the game...","Joining the game...","Connessione in corso…","Присоединение к игре...","Juntando-se à partida…","正在加入游戏...","Dołączanie do gry...","Rejoindre la partie...","Uniéndose a la partida...","Joining the game...","Der Partie wird beigetreten..."
"ms","ms","ms","мс","ms","毫秒","ms","ms","ms","ms","ms"
"Failed to open data store:","Failed to open data store:","Impossibile aprire l'archivio dati:","Не удалось открыть хранилище данных:","Falha ao abrir armazenamento de dados:","无法打开数据存储","Nie udało się otworzyć magazynu danych:","Échec de l'ouverture du magasin de données :","Error al abrir el almacén de datos:","Failed to open data store:","Datenstore konnte nicht geöffnet werden:"
"Failed to load private key:","Failed to load private key:","Impossibile caricare la chiave privata:","Не удалось загрузить закрытый ключ:","Falha ao carregar chave privada:","无法加载私钥","Nie udało się załadować klucza prywatnego:","Échec du chargement de la clé privée :","Error al cargar la clave privada:","Failed to load private key:","Privater Schlüssel konnte nicht geladen werden:"
"Envelope signature is not valid","Envelope signature is not valid","La firma del pacchetto non è valida","Подпись контакта недействительна","Assinatura de envelope invalida","信封签名无效","Podpis koperty jest nieprawidłowy","La signature de l'enveloppe n'est pas valide","La firma del sobre no es válida","Envelope signature is not valid","Umschlagssignatur ist ungültig"
"Can not dial self","Can not dial self","Non è possibile chiamare se stessi","Нельзя звонить самому себе","Não é possível conectar a si mesmo","无法自行拨号","Nie można dzwonić do siebie","Impossible de s'appeler soi-même","No se puede marcar a uno mismo","Can not dial self","Kann sich nicht selbst anrufen"
"Already connected","Already connected","Già connesso","Уже подключен","Já conectado","已连接","Już połączono","Déjà connecté","Ya conectado","Already connected","Bereits verbunden"
"Already in dial queue","Already in dial queue","Già in coda di chiamata","Уже в очереди на набор номера","Já em fila de conexão","已在拨号队列中","Już w kolejce połączeń","Déjà dans la file d'attente d'appel","Ya en la cola de marcación","Already in dial queue","Bereits in der Wählwarteschlange"
"Waiting for the server to start...","Waiting for the server to start...","In attesa dell'avvio del server…","Ждём запуска сервера…","Aguardando o servidor ser iniciado…","等待服务器启动...","Oczekiwanie na uruchomienie serwera...","En attente du démarrage du serveur...","Esperando a que el servidor se inicie...","Waiting for the server to start...","Warten auf den Start des Servers..."
"Waiting for the end of the game...","Waiting for the end of the game...","Aspettando la fine della partita…","Ждём окончания игры...","Aguardando o fim do jogo…","等待游戏结束...","Oczekiwanie na koniec gry...","En attente de la fin de la partie...","Esperando el final de la partida...","Waiting for the end of the game...","Warten auf das Ende des Spiels..."
"The client exited unexpectedly","The client exited unexpectedly","Il client è uscito inaspettatamente","Клиент неожиданно завершился","O cliente fechou inesperadamente","客户端意外退出","Klient niespodziewanie zakończył działanie","Le client s'est arrêté de manière inattendue","El cliente salió inesperadamente","The client exited unexpectedly","Der Client wurde unerwartet beendet"
"Show command to run manually","Show command to run manually","Mostra il comando da eseguire manualmente","Отобразить команду для запуска вручную","Mostrar comando para executar manualmente","显示手动运行的命令","Pokaż polecenie do ręcznego uruchomienia","Afficher la commande à exécuter manuellement","Mostrar comando para ejecutar manualmente","Show command to run manually","Befehl zur manuellen Ausführung anzeigen"
"Restart the client","Restart the client","Riavviare il client","Перезапустить клиент","Reiniciar Cliente","重启客户端","Uruchom ponownie klienta","Redémarrer le client","Reiniciar el cliente","Restart the client","Client neu starten"
"Leave","Leave","Esci","Покинуть игру","Sair","离开","Wyjdź","Quitter","Salir","Leave","Verlassen"
"Run the command in the terminal or paste it into a bat file","Run the command in the terminal or paste it into a bat file","Esegui il comando nel terminale o incollalo in un file bat","Запустите команду в терминале или вставьте её в bat-файл","Executar comando no terminal ou colar-lo em um arquivo bat","在终端中运行该命令或将其粘贴到批处理文件中","Uruchom polecenie w terminalu lub wklej je do pliku wsadowego","Exécutez la commande dans le terminal ou collez-la dans un fichier bat","Ejecute el comando en la terminal o péguelo en un archivo bat","Run the command in the terminal or paste it into a bat file","Führen Sie den Befehl im Terminal aus oder fügen Sie ihn in eine Bat-Datei ein"
"Game","Game","Partita","Игра","Jogo","游戏","Gra","Partie","Partida","Game","Spiel"
